k,method,rank,mean_f1
8,e5,34,0.09295238095238095
8,mpnet,35,0.06701666666666665
8,sroberta,36,0.045937391304347826
8,fasttext_pretrained,37,0.03666666666666667
8,w2v_self,38,0.030481746031746033
9,mpnet,1,0.21953318181818182
9,sroberta,2,0.21874090909090907
9,mpnet,3,0.211705
9,sroberta,4,0.20825636363636366
9,instructor,5,0.20314000000000002
9,sbert,6,0.20158681818181817
9,mpnet,7,0.20131636363636363
9,sbert,8,0.19456136363636364
9,instructor,9,0.191815
9,sroberta,10,0.19120545454545454
9,w2v_pretrained,11,0.18905045454545452
9,e5,12,0.18409090909090908
9,fasttext_pretrained,13,0.182635
9,glove_pretrained,14,0.1795531818181818
9,w2v_pretrained,15,0.17913909090909091
9,glove_pretrained,16,0.1787068181818182
9,e5,17,0.17735863636363638
9,sbert,18,0.17609636363636363
9,fasttext_pretrained,19,0.17553909090909092
9,w2v_pretrained,20,0.16753772727272728
9,e5,21,0.15790363636363636
9,instructor,22,0.14581954545454545
9,glove_pretrained,23,0.14357863636363635
9,fasttext_pretrained,24,0.14322181818181817
9,e5,25,0.13496
9,w2v_self,26,0.10510045454545454
9,w2v_pretrained,27,0.10021428571428571
9,sroberta,28,0.09719
9,instructor,29,0.08697142857142857
9,w2v_self,30,0.08648681818181818
9,w2v_self,31,0.08529454545454546
9,glove_pretrained,32,0.04530666666666667
9,w2v_self,33,0.04202307692307693
9,mpnet,34,0.03727974683544304
9,sbert,35,0.03428196721311476
10,mpnet,1,0.2066030303030303
10,sroberta,2,0.20365
10,mpnet,3,0.19432121212121212
10,sroberta,4,0.19369242424242425
10,sbert,5,0.18820454545454546
10,instructor,6,0.18673333333333333
10,sroberta,7,0.18293181818181817
10,instructor,8,0.17788030303030303
10,mpnet,9,0.17643939393939392
10,sbert,10,0.1746090909090909
10,w2v_pretrained,11,0.17449848484848485
10,e5,12,0.17395454545454545
10,fasttext_pretrained,13,0.17221666666666668
10,glove_pretrained,14,0.1665818181818182
10,e5,15,0.1654090909090909
10,w2v_pretrained,16,0.1618530303030303
10,fasttext_pretrained,17,0.16028030303030302
10,glove_pretrained,18,0.15914090909090908
10,sbert,19,0.15538181818181818
10,e5,20,0.15340151515151515
10,instructor,21,0.14896060606060607
10,w2v_pretrained,22,0.1460651515151515
10,fasttext_pretrained,23,0.1392348484848485
10,glove_pretrained,24,0.12627878787878788
10,w2v_pretrained,25,0.09410384615384615
10,w2v_self,26,0.08046363636363636
10,w2v_self,27,0.07657121212121212
10,w2v_self,28,0.0750090909090909
10,mpnet,29,0.034889189189189186
10,w2v_self,30,0.03217142857142857
10,e5,31,0.03167659574468085
10,glove_pretrained,32,0.008680555555555556
11,mpnet,1,0.20124166666666668
11,sroberta,2,0.19244166666666665
11,mpnet,3,0.18614166666666665
11,sroberta,4,0.18586666666666665
11,sroberta,5,0.18150833333333335
11,sbert,6,0.17847500000000002
11,mpnet,7,0.175675
11,instructor,8,0.166475
11,instructor,9,0.16489166666666666
11,e5,10,0.164075
11,fasttext_pretrained,11,0.16325
11,e5,12,0.15971666666666665
11,sbert,13,0.15855
11,w2v_pretrained,14,0.15815833333333332
11,glove_pretrained,15,0.15268333333333334
11,fasttext_pretrained,16,0.151125
11,w2v_pretrained,17,0.14445
11,glove_pretrained,18,0.1419
11,w2v_pretrained,19,0.140775
11,e5,20,0.14036666666666667
11,fasttext_pretrained,21,0.1359
11,instructor,22,0.134425
11,sbert,23,0.1321
11,glove_pretrained,24,0.11609166666666666
11,e5,25,0.078
11,w2v_self,26,0.077875
11,e5,27,0.0754
11,w2v_self,28,0.07154166666666667
11,w2v_self,29,0.069025
12,sroberta,1,0.1904
12,sroberta,2,0.1641
12,sroberta,3,0.1637
12,mpnet,4,0.163
12,mpnet,5,0.1616
12,w2v_pretrained,6,0.1612
12,e5,7,0.16
12,e5,8,0.1592
12,e5,9,0.1528
12,sbert,10,0.1527
12,sbert,11,0.149
12,instructor,12,0.1463
12,fasttext_pretrained,13,0.1461
12,glove_pretrained,14,0.146
12,mpnet,15,0.1437
12,w2v_pretrained,16,0.1414
12,glove_pretrained,17,0.1382
12,fasttext_pretrained,18,0.1378
12,w2v_pretrained,19,0.1278
12,glove_pretrained,20,0.1253
12,instructor,21,0.1247
12,sbert,22,0.1245
12,fasttext_pretrained,23,0.1193
12,instructor,24,0.1109
12,e5,25,0.076
12,w2v_self,26,0.071
12,e5,27,0.0657
12,w2v_self,28,0.0611
12,w2v_self,29,0.0546
