k,class_subset,embedding,clustering,precision,recall,f1
2,"[0, 2]",w2v_pretrained,hdbscan,0.7236,0.5102,0.3628
2,"[0, 3]",w2v_pretrained,kmeans,0.7969,0.8144,0.7891
2,"[0, 3]",w2v_pretrained,hac,0.7737,0.7861,0.7769
2,"[0, 3]",w2v_pretrained,spectral,0.7771,0.7919,0.7794
2,"[0, 3]",w2v_pretrained,dbscan,0.7435,0.521,0.4302
2,"[0, 3]",w2v_pretrained,hdbscan,0.8114,0.5065,0.3967
2,"[0, 4]",w2v_pretrained,kmeans,0.846,0.8551,0.8482
2,"[0, 4]",w2v_pretrained,hac,0.8028,0.8053,0.7826
2,"[0, 4]",w2v_pretrained,spectral,0.8641,0.8747,0.8659
2,"[0, 4]",w2v_pretrained,hdbscan,0.4351,0.4362,0.4354
2,"[1, 2]",w2v_pretrained,kmeans,0.8562,0.8449,0.8484
2,"[1, 2]",w2v_pretrained,hac,0.7579,0.7601,0.7527
2,"[1, 2]",w2v_pretrained,spectral,0.8359,0.8317,0.8333
2,"[1, 2]",w2v_pretrained,dbscan,0.722,0.5025,0.3125
2,"[1, 2]",w2v_pretrained,hdbscan,0.5351,0.5214,0.4857
2,"[1, 3]",w2v_pretrained,kmeans,0.7833,0.7862,0.782
2,"[1, 3]",w2v_pretrained,hac,0.7559,0.7579,0.7564
2,"[1, 3]",w2v_pretrained,spectral,0.7706,0.7668,0.7681
2,"[1, 3]",w2v_pretrained,dbscan,0.7767,0.5052,0.3666
2,"[1, 3]",w2v_pretrained,hdbscan,0.6269,0.5059,0.3734
2,"[1, 4]",w2v_pretrained,kmeans,0.8335,0.8436,0.8379
2,"[1, 4]",w2v_pretrained,hac,0.8176,0.7792,0.7923
2,"[1, 4]",w2v_pretrained,spectral,0.897,0.8028,0.8276
2,"[1, 4]",w2v_pretrained,dbscan,0.6732,0.5017,0.2606
2,"[2, 3]",w2v_pretrained,kmeans,0.4866,0.4862,0.4855
2,"[2, 3]",w2v_pretrained,hac,0.4517,0.4647,0.444
2,"[2, 3]",w2v_pretrained,spectral,0.4651,0.4653,0.4652
2,"[2, 3]",w2v_pretrained,hdbscan,0.6551,0.5066,0.396
2,"[2, 4]",w2v_pretrained,kmeans,0.7919,0.8036,0.7928
2,"[2, 4]",w2v_pretrained,hac,0.7241,0.6925,0.6381
2,"[2, 4]",w2v_pretrained,spectral,0.7949,0.8007,0.7972
2,"[2, 4]",w2v_pretrained,hdbscan,0.6709,0.5882,0.4794
2,"[3, 4]",w2v_pretrained,kmeans,0.6547,0.677,0.6574
2,"[3, 4]",w2v_pretrained,hac,0.7481,0.6858,0.702
2,"[3, 4]",w2v_pretrained,spectral,0.6291,0.5085,0.436
2,"[3, 4]",w2v_pretrained,dbscan,0.6511,0.5028,0.2376
2,"[3, 4]",w2v_pretrained,hdbscan,0.5681,0.5708,0.5691
